日期,主力合约,期货价格,现货价格,基差,到期日,剩余天数,期内分红,矫正基差,主力年化基差(%),年化基差(%)
2024-07-31,IC2409,4871.6,4886.4136,-14.8136,2024-09-20,51,5.5749,-9.2387,-1.3531,-1.3531
2024-08-01,IC2409,4821.2,4852.9725,-31.7725,2024-09-20,50,5.4252,-26.3473,-3.9632,-3.9632
2024-08-02,IC2409,4755.6,4788.6159,-33.0159,2024-09-20,49,5.4252,-27.5907,-4.2919,-4.2919
2024-08-05,IC2409,4665.2,4693.8478,-28.6478,2024-09-20,46,5.2838,-23.364,-3.9496,-3.9496
2024-08-06,IC2409,4715.8,4750.776,-34.976,2024-09-20,45,5.1292,-29.8468,-5.0958,-5.0958
2024-08-07,IC2409,4711.8,4751.9408,-40.1408,2024-09-20,44,4.9977,-35.1431,-6.1349,-6.1349
2024-08-08,IC2409,4727.6,4755.8149,-28.2149,2024-09-20,43,4.2502,-23.9647,-4.2773,-4.2773
2024-08-09,IC2409,4682.0,4720.3104,-38.3104,2024-09-20,42,3.8997,-34.4107,-6.3353,-6.3353
2024-08-12,IC2409,4694.0,4714.1586,-20.1586,2024-09-20,39,3.8997,-16.2589,-3.2279,-3.2279
2024-08-13,IC2409,4705.0,4731.8353,-26.8353,2024-09-20,38,3.8796,-22.9557,-4.6598,-4.6598
2024-08-14,IC2409,4626.6,4667.0731,-40.4731,2024-09-20,37,3.8796,-36.5935,-7.7348,-7.7348
2024-08-15,IC2409,4661.2,4698.375,-37.175,2024-09-20,36,3.4885,-33.6865,-7.2694,-7.2694
2024-08-16,IC2409,4642.8,4670.3789,-27.5789,2024-09-20,35,2.6013,-24.9776,-5.5773,-5.5773
2024-08-19,IC2409,4662.0,4682.9628,-20.9628,2024-09-20,32,2.5541,-18.4087,-4.4838,-4.4838
2024-08-20,IC2409,4572.0,4602.0095,-30.0095,2024-09-20,31,2.3501,-27.6594,-7.0766,-7.0766
2024-08-21,IC2409,4570.6,4587.1218,-16.5218,2024-09-20,30,2.3501,-14.1717,-3.7588,-3.7588
2024-08-22,IC2409,4514.6,4533.3695,-18.7695,2024-09-20,29,2.3417,-16.4278,-4.5609,-4.5609
2024-08-23,IC2409,4518.6,4537.0872,-18.4872,2024-09-20,28,2.1723,-16.3149,-4.6875,-4.6875
2024-08-26,IC2409,4527.0,4544.3594,-17.3594,2024-09-20,25,2.0025,-15.3569,-4.9338,-4.9338
2024-08-27,IC2409,4480.2,4495.2856,-15.0856,2024-09-20,24,2.0025,-13.0831,-4.4262,-4.4262
2024-08-28,IC2409,4483.0,4500.0088,-17.0088,2024-09-20,23,2.0025,-15.0063,-5.2921,-5.2921
2024-08-29,IC2409,4547.2,4557.9006,-10.7006,2024-09-20,22,2.0025,-8.6981,-3.1661,-3.1661
2024-08-30,IC2409,4628.4,4639.1144,-10.7144,2024-09-20,21,2.0025,-8.7119,-3.264,-3.264
2024-09-02,IC2409,4532.4,4546.8832,-14.4832,2024-09-20,18,2.0025,-12.4807,-5.566,-5.566
2024-09-03,IC2409,4576.0,4596.4819,-20.4819,2024-09-20,17,1.8254,-18.6565,-8.7146,-8.7146
2024-09-04,IC2409,4569.2,4582.084,-12.884,2024-09-20,16,1.8254,-11.0586,-5.5057,-5.5057
2024-09-05,IC2409,4592.4,4601.0911,-8.6911,2024-09-20,15,1.1678,-7.5233,-3.9788,-3.9788
