日期,主力合约,期货价格,现货价格,基差,到期日,剩余天数,期内分红,矫正基差,主力年化基差(%),年化基差(%)
2024-05-22,IF2406,3666.4,3684.451,-18.051,2024-06-21,30,23.1847,5.1337,1.6952,1.6952
2024-05-23,IF2406,3629.2,3641.7917,-12.5917,2024-06-21,29,23.1395,10.5478,3.6454,3.6454
2024-05-24,IF2406,3589.0,3601.4754,-12.4754,2024-06-21,28,22.5783,10.1029,3.6568,3.6568
2024-05-27,IF2406,3617.4,3635.7079,-18.3079,2024-06-21,25,22.2837,3.9758,1.5966,1.5966
2024-05-28,IF2406,3596.4,3609.1724,-12.7724,2024-06-21,24,21.9932,9.2208,3.8855,3.8855
2024-05-29,IF2406,3596.2,3613.5223,-17.3223,2024-06-21,23,21.4616,4.1393,1.8179,1.8179
2024-05-30,IF2406,3586.0,3594.3121,-8.3121,2024-06-21,22,20.847,12.5349,5.786,5.786
2024-05-31,IF2406,3571.8,3579.9247,-8.1247,2024-06-21,21,20.7749,12.6502,6.1418,6.1418
2024-06-03,IF2406,3572.6,3588.7483,-16.1483,2024-06-21,18,20.5738,4.4255,2.5006,2.5006
2024-06-04,IF2406,3597.6,3615.6714,-18.0714,2024-06-21,17,20.1886,2.1172,1.2572,1.2572
2024-06-05,IF2406,3584.0,3594.7936,-10.7936,2024-06-21,16,18.5944,7.8008,4.9504,4.9504
2024-06-06,IF2406,3584.4,3592.2454,-7.8454,2024-06-21,15,17.6841,9.8387,6.6646,6.6646
2024-06-07,IF2406,3558.8,3574.1143,-15.3143,2024-06-21,14,15.4737,0.1594,0.1163,0.1163
2024-06-11,IF2406,3536.6,3542.8771,-6.2771,2024-06-21,10,14.7271,8.45,8.7055,8.7055
2024-06-12,IF2406,3531.2,3544.1225,-12.9225,2024-06-21,9,14.3657,1.4432,1.6515,1.6515
2024-06-13,IF2406,3517.6,3526.1306,-8.5306,2024-06-21,8,12.5334,4.0028,5.1793,5.1793
2024-06-14,IF2409,3494.8,3541.5331,-46.7331,2024-09-20,98,67.0131,20.28,2.1328,2.1328
2024-06-17,IF2409,3487.6,3536.1986,-48.5986,2024-09-20,95,66.7498,18.1512,1.9721,1.9721
2024-06-18,IF2409,3497.4,3545.5902,-48.1902,2024-09-20,94,66.6157,18.4255,2.0179,2.0179
2024-06-19,IF2409,3487.2,3528.749,-41.549,2024-09-20,93,61.1754,19.6264,2.1829,2.1829
2024-06-20,IF2409,3465.6,3503.2817,-37.6817,2024-09-20,92,60.3879,22.7062,2.5714,2.5714
2024-06-21,IF2409,3456.0,3495.6198,-39.6198,2024-09-20,91,59.549,19.9292,2.2867,2.2867
2024-06-24,IF2409,3440.8,3476.8102,-36.0102,2024-09-20,88,58.9502,22.94,2.7367,2.7367
2024-06-25,IF2409,3414.8,3457.9023,-43.1023,2024-09-20,87,58.9502,15.8479,1.9228,1.9228
