日期,主力合约,期货价格,现货价格,基差,到期日,剩余天数,期内分红,矫正基差,主力年化基差(%),年化基差(%)
2024-01-10,IM2403,5411.4,5512.0686,-100.6686,2024-03-15,65,0.0,-100.6686,-10.2555,-10.2555
2024-01-11,IM2403,5535.8,5611.1149,-75.3149,2024-03-15,64,0.0,-75.3149,-7.655,-7.655
2024-01-12,IM2403,5485.4,5574.4926,-89.0926,2024-03-15,63,0.0,-89.0926,-9.2595,-9.2595
2024-01-15,IM2403,5459.0,5559.376,-100.376,2024-03-15,60,0.0,-100.376,-10.9836,-10.9836
2024-01-16,IM2403,5429.4,5539.4741,-110.0741,2024-03-15,59,0.0,-110.0741,-12.293,-12.293
2024-01-17,IM2403,5202.6,5389.1216,-186.5216,2024-03-15,58,0.0,-186.5216,-21.7809,-21.7809
2024-01-18,IM2403,5228.6,5373.4239,-144.8239,2024-03-15,57,0.0,-144.8239,-17.2587,-17.2587
2024-01-19,IM2403,5182.4,5306.9862,-124.5862,2024-03-15,56,0.0,-124.5862,-15.3012,-15.3012
2024-01-22,IM2403,4732.4,5000.8336,-268.4336,2024-03-15,53,0.0,-268.4336,-36.9668,-36.9668
2024-01-23,IM2403,4945.0,5079.6315,-134.6315,2024-03-15,52,0.0,-134.6315,-18.6039,-18.6039
2024-01-24,IM2403,5048.6,5143.4078,-94.8078,2024-03-15,51,0.0,-94.8078,-13.1922,-13.1922
2024-01-25,IM2403,5273.8,5316.195,-42.395,2024-03-15,50,0.0,-42.395,-5.8215,-5.8215
2024-01-26,IM2403,5178.2,5269.7646,-91.5646,2024-03-15,49,0.0,-91.5646,-12.9429,-12.9429
2024-01-29,IM2403,5016.4,5131.2465,-114.8465,2024-03-15,46,0.0,-114.8465,-17.7595,-17.7595
2024-01-30,IM2403,4848.0,4984.6598,-136.6598,2024-03-15,45,0.0,-136.6598,-22.2375,-22.2375
2024-01-31,IM2403,4666.2,4785.032,-118.832,2024-03-15,44,0.0,-118.832,-20.601,-20.601
2024-02-01,IM2403,4641.6,4750.4439,-108.8439,2024-03-15,43,0.0,-108.8439,-19.4489,-19.4489
2024-02-02,IM2403,4447.4,4574.6692,-127.2692,2024-03-15,42,0.0,-127.2692,-24.1773,-24.1773
2024-02-05,IM2403,4044.6,4293.0695,-248.4695,2024-03-15,39,0.0,-248.4695,-54.1668,-54.1668
2024-02-06,IM2403,4568.4,4592.4444,-24.0444,2024-03-15,38,0.0,-24.0444,-5.029,-5.029
2024-02-07,IM2403,4793.0,4797.8456,-4.8456,2024-03-15,37,0.0,-4.8456,-0.9963,-0.9963
2024-02-08,IM2403,4980.4,4993.1046,-12.7046,2024-03-15,36,0.0,-12.7046,-2.5798,-2.5798
2024-02-19,IM2403,4954.6,5029.5861,-74.9861,2024-03-15,25,0.0,-74.9861,-21.7671,-21.7671
2024-02-20,IM2403,4989.0,5046.0121,-57.0121,2024-03-15,24,0.0,-57.0121,-17.1831,-17.1831
2024-02-21,IM2403,5001.4,5073.4821,-72.0821,2024-03-15,23,0.0,-72.0821,-22.5469,-22.5469
2024-02-22,IM2403,5122.4,5151.5343,-29.1343,2024-03-15,22,0.0,-29.1343,-9.3829,-9.3829
2024-02-23,IM2403,5217.0,5225.6697,-8.6697,2024-03-15,21,0.0,-8.6697,-2.8836,-2.8836
2024-02-26,IM2403,5215.0,5255.3962,-40.3962,2024-03-15,18,0.0,-40.3962,-15.5867,-15.5867
2024-02-27,IM2403,5386.0,5394.0342,-8.0342,2024-03-15,17,0.0,-8.0342,-3.198,-3.198
2024-02-28,IM2403,5117.6,5152.0519,-34.4519,2024-03-15,16,0.0,-34.4519,-15.2548,-15.2548
2024-02-29,IM2403,5333.8,5344.6052,-10.8052,2024-03-15,15,0.0,-10.8052,-4.9195,-4.9195
2024-03-01,IM2403,5392.0,5401.9394,-9.9394,2024-03-15,14,0.0,-9.9394,-4.7971,-4.7971
2024-03-04,IM2403,5383.4,5428.3356,-44.9356,2024-03-15,11,0.0,-44.9356,-27.4678,-27.4678
2024-03-05,IM2403,5311.4,5375.1317,-63.7317,2024-03-15,10,0.0,-63.7317,-43.2772,-43.2772
2024-03-06,IM2403,5345.0,5381.4587,-36.4587,2024-03-15,9,0.0,-36.4587,-27.4759,-27.4759
2024-03-07,IM2403,5277.0,5303.2766,-26.2766,2024-03-15,8,0.0,-26.2766,-22.6062,-22.6062
2024-03-08,IM2403,5348.0,5370.3719,-22.3719,2024-03-15,7,0.0,-22.3719,-21.7217,-21.7217
2024-03-11,IM2403,5463.0,5466.6455,-3.6455,2024-03-15,4,0.0,-3.6455,-6.0851,-6.7932
2024-03-12,IM2406,5352.0,5496.3553,-144.3553,2024-06-21,101,0.0,-144.3553,-9.4914,-9.4914
2024-03-13,IM2406,5380.0,5521.7838,-141.7838,2024-06-21,100,0.0,-141.7838,-9.3722,-9.3722
2024-03-14,IM2406,5344.2,5486.6461,-142.4461,2024-06-21,99,0.0,-142.4461,-9.572,-9.572
2024-03-15,IM2406,5440.0,5555.6442,-115.6442,2024-06-21,98,0.0,-115.6442,-7.7528,-7.7528
2024-03-18,IM2404,5639.6,5648.0117,-8.4117,2024-04-19,32,0.0,-8.4117,-1.6988,-1.6988
2024-03-19,IM2406,5495.2,5607.4754,-112.2754,2024-06-21,94,0.0,-112.2754,-7.7747,-7.7747
2024-03-20,IM2406,5539.0,5659.1539,-120.1539,2024-06-21,93,0.0,-120.1539,-8.3329,-8.3329
2024-03-21,IM2406,5540.0,5658.2794,-118.2794,2024-06-21,92,0.0,-118.2794,-8.2933,-8.2933
2024-03-22,IM2406,5466.6,5595.8848,-129.2848,2024-06-21,91,0.0,-129.2848,-9.2668,-9.2668
2024-03-25,IM2406,5337.0,5466.0615,-129.0615,2024-06-21,88,0.0,-129.0615,-9.7934,-9.7934
2024-03-26,IM2406,5304.2,5447.7484,-143.5484,2024-06-21,87,0.0,-143.5484,-11.0549,-11.0549
2024-03-27,IM2406,5121.4,5266.2306,-144.8306,2024-06-21,86,0.0,-144.8306,-11.6723,-11.6723
2024-03-28,IM2404,5349.6,5382.2363,-32.6363,2024-04-19,22,0.0,-32.6363,-10.0602,-10.0602
2024-03-29,IM2404,5412.0,5441.2603,-29.2603,2024-04-19,21,0.0,-29.2603,-9.3466,-9.3466
2024-04-01,IM2406,5446.2,5559.0557,-112.8557,2024-06-21,81,0.0,-112.8557,-9.1481,-9.1481
2024-04-02,IM2406,5414.2,5531.0522,-116.8522,2024-06-21,80,0.0,-116.8522,-9.639,-9.639
2024-04-03,IM2406,5374.4,5500.9264,-126.5264,2024-06-21,79,0.0,-126.5264,-10.627,-10.627
2024-04-08,IM2406,5241.8,5399.9148,-158.1148,2024-06-21,74,0.0,-158.1148,-14.4426,-14.4426
2024-04-09,IM2406,5322.4,5468.9109,-146.5109,2024-06-21,73,0.0,-146.5109,-13.3949,-13.3949
2024-04-10,IM2406,5218.0,5367.0518,-149.0518,2024-06-21,72,0.0,-149.0518,-14.0787,-14.0787
2024-04-11,IM2406,5235.6,5379.9153,-144.3153,2024-06-21,71,0.0,-144.3153,-13.7902,-13.7902
2024-04-12,IM2406,5183.8,5338.7692,-154.9692,2024-06-21,70,0.0,-154.9692,-15.1356,-15.1356
2024-04-15,IM2406,5120.0,5287.5115,-167.5115,2024-06-21,67,0.0,-167.5115,-17.2588,-17.2588
2024-04-16,IM2406,4917.2,5066.6599,-149.4599,2024-06-21,66,0.0,-149.4599,-16.3137,-16.3137
2024-04-17,IM2406,5157.4,5287.4563,-130.0563,2024-06-21,65,0.0,-130.0563,-13.8122,-13.8122
2024-04-18,IM2406,5165.6,5286.7192,-121.1192,2024-06-21,64,0.0,-121.1192,-13.0659,-13.0659
2024-04-19,IM2406,5118.8,5264.3891,-145.5891,2024-06-21,63,0.0,-145.5891,-16.0226,-16.0226
2024-04-22,IM2406,5118.4,5246.0818,-127.6818,2024-06-21,60,0.0,-127.6818,-14.8059,-14.8059
2024-04-23,IM2406,5082.8,5218.4277,-135.6277,2024-06-21,59,0.0,-135.6277,-16.0786,-16.0786
2024-04-24,IM2406,5205.8,5305.6068,-99.8068,2024-06-21,58,0.0,-99.8068,-11.8383,-11.8383
2024-04-25,IM2406,5214.2,5313.986,-99.786,2024-06-21,57,0.0,-99.786,-12.0245,-12.0245
2024-04-26,IM2406,5351.2,5415.9379,-64.7379,2024-06-21,56,0.0,-64.7379,-7.7909,-7.7909
2024-04-29,IM2406,5510.2,5545.2346,-35.0346,2024-06-21,53,0.0,-35.0346,-4.3511,-4.3511
2024-04-30,IM2406,5448.8,5497.4303,-48.6303,2024-06-21,52,0.0,-48.6303,-6.2092,-6.2092
2024-05-06,IM2406,5548.6,5606.8416,-58.2416,2024-06-21,46,0.0,-58.2416,-8.2423,-8.2423
2024-05-07,IM2406,5557.2,5625.3358,-68.1358,2024-06-21,45,0.0,-68.1358,-9.8244,-9.8244
2024-05-08,IM2406,5461.2,5536.6589,-75.4589,2024-06-21,44,0.0,-75.4589,-11.3058,-11.3058
2024-05-09,IM2406,5562.8,5626.8251,-64.0251,2024-06-21,43,0.0,-64.0251,-9.6585,-9.6585
2024-05-10,IM2406,5503.6,5574.232,-70.632,2024-06-21,42,0.0,-70.632,-11.0118,-11.0118
2024-05-13,IM2406,5443.8,5520.8038,-77.0038,2024-06-21,39,0.0,-77.0038,-13.0538,-13.0538
2024-05-14,IM2406,5470.0,5551.6751,-81.6751,2024-06-21,38,0.0,-81.6751,-14.1311,-14.1311
2024-05-15,IM2406,5424.0,5497.2349,-73.2349,2024-06-21,37,0.0,-73.2349,-13.1421,-13.1421
2024-05-16,IM2406,5415.0,5488.946,-73.946,2024-06-21,36,0.0,-73.946,-13.6589,-13.6589
2024-05-17,IM2406,5530.2,5563.231,-33.031,2024-06-21,35,0.0,-33.031,-6.1918,-6.1918
2024-05-20,IM2406,5539.2,5596.7772,-57.5772,2024-06-21,32,0.0,-57.5772,-11.7343,-11.7343
2024-05-21,IM2406,5476.8,5536.7447,-59.9447,2024-06-21,31,0.0,-59.9447,-12.7476,-12.7476
2024-05-22,IM2406,5479.6,5539.6597,-60.0597,2024-06-21,30,0.0,-60.0597,-13.1908,-13.1908
